Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),label
0.0315,-0.151,-0.468,0.0166,0.491,0
0.0335,-0.149,-0.47,0.0166,0.493,0
0.0355,-0.142,-0.473,0.0156,0.494,0
0.0375,-0.135,-0.476,0.0145,0.495,0
0.0395,-0.13,-0.477,0.0134,0.495,0
0.0415,-0.125,-0.478,0.0113,0.494,0
0.0435,-0.12,-0.478,0.0103,0.493,0
0.0455,-0.118,-0.478,0.00812,0.492,0
0.0475,-0.115,-0.479,0.00599,0.493,0
0.0496,-0.11,-0.478,0.00493,0.491,0
0.0516,-0.109,-0.477,0.0028,0.489,0
0.0536,-0.106,-0.476,0.00173,0.488,0
0.0556,-0.103,-0.474,0.00173,0.485,0
0.0576,-0.0996,-0.471,0.00173,0.481,0
0.0596,-0.0996,-0.465,0.00173,0.476,0
0.0616,-0.0975,-0.461,0.00173,0.471,0
0.0636,-0.0943,-0.454,0.00493,0.463,0
0.0656,-0.0932,-0.446,0.00386,0.456,0
0.0676,-0.0921,-0.438,0.00599,0.447,0
0.0696,-0.0911,-0.431,0.00812,0.441,0
0.0716,-0.0879,-0.424,0.00919,0.433,0
0.0736,-0.0847,-0.417,0.0134,0.426,0
0.0756,-0.0836,-0.412,0.0166,0.421,0
0.0776,-0.0815,-0.405,0.0188,0.413,0
0.0796,-0.0794,-0.399,0.022,0.408,0
0.0816,-0.0804,-0.394,0.0252,0.403,0
0.0836,-0.0772,-0.384,0.0262,0.393,0
0.0856,-0.0783,-0.38,0.0294,0.389,0
0.0876,-0.0783,-0.372,0.0305,0.381,0
0.0897,-0.0772,-0.364,0.0337,0.374,0
0.0917,-0.0772,-0.358,0.0379,0.368,0
0.0937,-0.0772,-0.35,0.039,0.361,0
0.0957,-0.0794,-0.342,0.0422,0.353,0
0.0977,-0.0826,-0.336,0.0433,0.349,0
0.0997,-0.0858,-0.327,0.0475,0.341,0
0.102,-0.0911,-0.319,0.0497,0.336,0
0.104,-0.0964,-0.312,0.0518,0.33,0
0.106,-0.102,-0.304,0.0529,0.325,0
0.108,-0.109,-0.295,0.055,0.319,0
0.11,-0.117,-0.285,0.0571,0.313,0
0.112,-0.125,-0.281,0.0593,0.313,0
0.114,-0.133,-0.268,0.0603,0.305,0
0.116,-0.143,-0.262,0.0624,0.305,0
0.118,-0.153,-0.255,0.0624,0.304,0
0.12,-0.162,-0.247,0.0635,0.302,0
0.122,-0.171,-0.24,0.0635,0.302,0
0.124,-0.183,-0.23,0.0646,0.301,0
0.126,-0.191,-0.222,0.0646,0.3,0
0.128,-0.199,-0.216,0.0635,0.3,0
0.13,-0.206,-0.209,0.0656,0.3,0
0.132,-0.214,-0.199,0.0667,0.299,0
0.134,-0.22,-0.193,0.0667,0.3,0
0.136,-0.227,-0.186,0.0656,0.301,0
0.138,-0.232,-0.183,0.0656,0.302,0
0.14,-0.235,-0.18,0.0614,0.302,0
0.142,-0.238,-0.179,0.0603,0.304,0
0.144,-0.239,-0.178,0.0561,0.303,0
0.146,-0.237,-0.173,0.0539,0.299,0
0.148,-0.237,-0.171,0.0486,0.296,0
0.15,-0.237,-0.168,0.0454,0.294,0
0.152,-0.234,-0.167,0.0411,0.29,0
0.154,-0.231,-0.165,0.0358,0.286,0
0.156,-0.228,-0.163,0.0326,0.282,0
0.158,-0.224,-0.16,0.0284,0.277,0
0.16,-0.22,-0.16,0.0241,0.273,0
0.162,-0.215,-0.157,0.0177,0.267,0
0.164,-0.21,-0.154,0.0156,0.261,0
0.166,-0.203,-0.152,0.0134,0.254,0
0.168,-0.199,-0.152,0.00812,0.25,0
0.17,-0.193,-0.154,0.00493,0.247,0
0.172,-0.186,-0.161,0.0028,0.246,0
0.174,-0.177,-0.163,-0.000399,0.241,0
0.176,-0.17,-0.167,-0.00253,0.238,0
0.178,-0.164,-0.173,-0.00573,0.238,0
0.18,-0.154,-0.18,-0.00786,0.237,0
0.182,-0.144,-0.185,-0.00999,0.235,0
0.184,-0.137,-0.19,-0.0111,0.235,0
0.186,-0.127,-0.193,-0.0111,0.231,0
0.188,-0.12,-0.198,-0.0132,0.232,0
0.19,-0.113,-0.201,-0.0142,0.231,0
0.192,-0.105,-0.201,-0.0132,0.227,0
0.194,-0.0985,-0.199,-0.0121,0.222,0
0.196,-0.0932,-0.201,-0.0111,0.222,0
0.198,-0.0879,-0.197,-0.00999,0.216,0
0.2,-0.0847,-0.191,-0.00786,0.21,0
0.202,-0.0826,-0.187,-0.00466,0.205,0
0.204,-0.0804,-0.182,-0.00253,0.199,0
0.206,-0.0804,-0.175,-0.000399,0.193,0
0.208,-0.0794,-0.169,0.0028,0.187,0
0.21,-0.0794,-0.162,0.00812,0.18,0
0.212,-0.0804,-0.154,0.0103,0.174,0
0.214,-0.0826,-0.148,0.0124,0.17,0
0.216,-0.0836,-0.141,0.0177,0.165,0
0.218,-0.0836,-0.135,0.022,0.16,0
0.22,-0.0858,-0.129,0.023,0.156,0
0.222,-0.0879,-0.122,0.0284,0.153,0
0.224,-0.0879,-0.119,0.0316,0.151,0
0.226,-0.0868,-0.115,0.0326,0.148,0
0.228,-0.0858,-0.109,0.0369,0.144,0
0.23,-0.0847,-0.106,0.0401,0.142,0
0.232,-0.0815,-0.104,0.0433,0.139,0
0.234,-0.0794,-0.104,0.0486,0.14,0
0.236,-0.0783,-0.107,0.0497,0.142,0
0.238,-0.074,-0.108,0.0529,0.142,0
0.24,-0.0708,-0.113,0.0539,0.144,0
0.242,-0.0719,-0.118,0.0539,0.148,0
0.244,-0.0687,-0.125,0.0539,0.153,0
0.246,-0.0687,-0.132,0.0539,0.158,0
0.248,-0.0698,-0.142,0.0529,0.167,0
0.25,-0.0687,-0.15,0.0507,0.173,0
0.252,-0.0708,-0.16,0.0497,0.181,0
0.254,-0.0719,-0.167,0.0475,0.188,0
0.256,-0.074,-0.175,0.0443,0.196,0
0.258,-0.0772,-0.182,0.0433,0.202,0
0.26,-0.0804,-0.188,0.0422,0.209,0
0.262,-0.0858,-0.195,0.0422,0.217,0
0.264,-0.0921,-0.202,0.0411,0.226,0
0.266,-0.0953,-0.211,0.0401,0.235,0
0.268,-0.102,-0.218,0.0358,0.243,0
0.27,-0.107,-0.222,0.0358,0.249,0
0.272,-0.111,-0.229,0.0379,0.257,0
0.274,-0.118,-0.231,0.039,0.262,0
0.276,-0.12,-0.233,0.0422,0.265,0
0.278,-0.124,-0.233,0.0443,0.268,0
0.28,-0.127,-0.236,0.0486,0.273,0
0.282,-0.128,-0.236,0.0529,0.274,0
0.284,-0.128,-0.24,0.0582,0.279,0
0.286,-0.128,-0.245,0.0624,0.283,0
0.288,-0.128,-0.246,0.0678,0.285,0
0.29,-0.127,-0.252,0.072,0.292,0
0.292,-0.127,-0.258,0.0774,0.297,0
0.294,-0.124,-0.262,0.0795,0.3,0
0.296,-0.124,-0.267,0.0827,0.306,0
0.298,-0.121,-0.272,0.0859,0.31,0
0.3,-0.118,-0.28,0.0891,0.316,0
0.302,-0.119,-0.283,0.0912,0.32,0
0.304,-0.116,-0.287,0.0933,0.323,0
0.306,-0.115,-0.291,0.0955,0.327,0
0.308,-0.117,-0.294,0.0976,0.331,0
0.31,-0.116,-0.295,0.0976,0.331,0
0.312,-0.117,-0.297,0.101,0.335,0
0.314,-0.12,-0.297,0.0997,0.335,0
0.316,-0.123,-0.296,0.101,0.336,0
0.318,-0.127,-0.295,0.101,0.337,0
0.32,-0.133,-0.291,0.102,0.335,0
0.322,-0.139,-0.287,0.101,0.335,0
0.324,-0.145,-0.286,0.0997,0.336,0
0.326,-0.153,-0.284,0.0987,0.337,0
0.328,-0.162,-0.281,0.0987,0.339,0
0.33,-0.171,-0.276,0.101,0.34,0
0.332,-0.179,-0.273,0.101,0.342,0
0.334,-0.191,-0.267,0.103,0.344,0
0.336,-0.2,-0.264,0.104,0.347,0
0.338,-0.208,-0.259,0.104,0.348,0
0.34,-0.219,-0.256,0.104,0.353,0
0.342,-0.23,-0.253,0.106,0.358,0
0.344,-0.24,-0.249,0.107,0.362,0
0.346,-0.248,-0.247,0.108,0.366,0
0.348,-0.257,-0.247,0.111,0.374,0
0.35,-0.266,-0.246,0.113,0.379,0
0.352,-0.275,-0.242,0.116,0.384,0
0.354,-0.285,-0.24,0.118,0.391,0
0.356,-0.291,-0.242,0.12,0.397,0
0.358,-0.299,-0.24,0.122,0.403,0
0.36,-0.306,-0.238,0.124,0.407,0
0.362,-0.313,-0.236,0.126,0.412,0
0.364,-0.317,-0.232,0.13,0.414,0
0.366,-0.319,-0.227,0.132,0.413,0
0.368,-0.322,-0.222,0.135,0.414,0
0.37,-0.322,-0.216,0.139,0.412,0
0.372,-0.322,-0.217,0.146,0.415,0
0.374,-0.321,-0.214,0.149,0.414,0
0.376,-0.319,-0.212,0.154,0.413,0
0.378,-0.315,-0.215,0.158,0.413,0
0.38,-0.311,-0.217,0.164,0.413,0
0.382,-0.306,-0.219,0.167,0.412,0
0.384,-0.301,-0.223,0.172,0.412,0
0.386,-0.296,-0.229,0.177,0.414,0
0.388,-0.289,-0.232,0.183,0.413,0
0.39,-0.284,-0.238,0.186,0.415,0
0.392,-0.281,-0.243,0.191,0.417,0
0.394,-0.274,-0.249,0.196,0.419,0
0.396,-0.269,-0.252,0.199,0.419,0
0.398,-0.267,-0.256,0.202,0.422,0
0.4,-0.266,-0.262,0.206,0.426,0
0.402,-0.265,-0.265,0.209,0.429,0
0.404,-0.266,-0.265,0.217,0.433,0
0.406,-0.269,-0.267,0.22,0.438,0
0.408,-0.271,-0.267,0.225,0.442,0
0.41,-0.274,-0.268,0.233,0.449,0
0.412,-0.277,-0.268,0.237,0.453,0
0.414,-0.282,-0.263,0.244,0.456,0
0.416,-0.291,-0.259,0.251,0.463,0
0.418,-0.297,-0.256,0.258,0.47,0
0.42,-0.305,-0.248,0.266,0.475,0
0.422,-0.315,-0.238,0.275,0.481,0
0.424,-0.322,-0.229,0.283,0.486,0
0.426,-0.33,-0.213,0.293,0.489,0
0.428,-0.34,-0.197,0.303,0.496,0
0.43,-0.349,-0.179,0.314,0.502,0
0.432,-0.356,-0.16,0.326,0.508,0
0.434,-0.366,-0.139,0.336,0.516,0
0.436,-0.373,-0.122,0.349,0.525,0
0.438,-0.38,-0.111,0.362,0.536,0
0.44,-0.387,-0.0967,0.375,0.547,0
0.442,-0.391,-0.0892,0.387,0.558,0
0.444,-0.396,-0.0807,0.4,0.569,0
0.446,-0.398,-0.0754,0.413,0.578,0
0.448,-0.402,-0.07,0.426,0.59,0
0.45,-0.403,-0.0668,0.44,0.6,0
0.452,-0.402,-0.0615,0.452,0.608,0
0.454,-0.399,-0.0541,0.465,0.615,0
0.456,-0.399,-0.0466,0.477,0.623,0
0.458,-0.397,-0.036,0.489,0.63,0
0.46,-0.395,-0.0253,0.501,0.639,0
0.462,-0.391,-0.0178,0.513,0.646,0
0.464,-0.388,-0.00719,0.526,0.654,0
0.466,-0.384,0.0024,0.54,0.662,0
0.468,-0.379,0.012,0.551,0.669,0
0.47,-0.375,0.0216,0.565,0.679,0
0.472,-0.372,0.0301,0.577,0.687,0
0.474,-0.368,0.0365,0.59,0.696,0
0.476,-0.365,0.0429,0.6,0.704,0
0.478,-0.358,0.0482,0.61,0.709,0
0.48,-0.355,0.0503,0.621,0.717,0
0.482,-0.352,0.0493,0.631,0.724,0
0.484,-0.349,0.0503,0.636,0.727,0
0.486,-0.347,0.0503,0.641,0.73,0
0.488,-0.345,0.0514,0.646,0.734,0
0.49,-0.34,0.0503,0.649,0.735,0
0.492,-0.339,0.0471,0.653,0.737,0
0.494,-0.337,0.0471,0.652,0.735,0
0.496,-0.339,0.0461,0.654,0.738,0
0.498,-0.339,0.0418,0.652,0.736,0
0.501,-0.342,0.0397,0.649,0.735,0
0.503,-0.34,0.0365,0.647,0.732,0
0.505,-0.342,0.0312,0.643,0.729,0
0.507,-0.346,0.029,0.639,0.727,0
0.509,-0.348,0.0269,0.633,0.723,0
0.511,-0.35,0.0248,0.629,0.72,0
0.513,-0.35,0.0237,0.623,0.715,0
0.515,-0.352,0.0269,0.613,0.708,0
0.517,-0.353,0.0258,0.606,0.702,0
0.519,-0.355,0.0269,0.599,0.697,0
0.521,-0.353,0.0269,0.591,0.689,0
0.523,-0.352,0.029,0.581,0.68,0
0.525,-0.35,0.0333,0.573,0.672,0
0.527,-0.347,0.0333,0.564,0.663,0
0.529,-0.342,0.0344,0.556,0.654,0
0.531,-0.337,0.0365,0.548,0.645,0
0.533,-0.331,0.0354,0.54,0.634,0
0.535,-0.323,0.0365,0.528,0.62,0
0.537,-0.315,0.0354,0.519,0.608,0
0.539,-0.306,0.0333,0.512,0.598,0
0.541,-0.297,0.0301,0.502,0.584,0
0.543,-0.286,0.0258,0.494,0.571,0
0.545,-0.274,0.0248,0.483,0.556,0
0.547,-0.257,0.0216,0.476,0.541,0
0.549,-0.242,0.0173,0.466,0.526,0
0.551,-0.227,0.013,0.456,0.509,0
0.553,-0.209,0.00666,0.446,0.493,0
0.555,-0.188,-0.000799,0.435,0.474,0
0.557,-0.169,-0.00719,0.424,0.456,0
0.559,-0.149,-0.0157,0.41,0.436,0
0.561,-0.128,-0.0221,0.395,0.416,0
0.563,-0.108,-0.0274,0.382,0.398,0
0.565,-0.0858,-0.036,0.367,0.379,0
0.567,-0.0655,-0.0402,0.354,0.363,0
0.569,-0.0485,-0.0466,0.337,0.344,0
0.571,-0.0314,-0.0498,0.323,0.329,0
0.573,-0.0176,-0.0551,0.307,0.313,0
0.575,-0.0016,-0.0573,0.295,0.3,0
0.577,0.00692,-0.0583,0.28,0.286,0
0.579,0.0133,-0.0551,0.268,0.274,0
0.581,0.0186,-0.0519,0.253,0.259,0
0.583,0.0186,-0.0466,0.239,0.244,0
0.585,0.0112,-0.0647,0.208,0.218,0
0.587,0.000533,-0.0711,0.184,0.197,0
0.589,-0.0123,-0.0764,0.16,0.178,0
0.591,-0.0272,-0.0818,0.138,0.163,0
0.593,-0.0442,-0.0881,0.124,0.159,0
0.595,-0.0613,-0.0999,0.113,0.162,0
0.597,-0.0783,-0.111,0.107,0.173,0
0.599,-0.0921,-0.116,0.106,0.182,0
0.601,-0.102,-0.128,0.107,0.195,0
0.603,-0.113,-0.137,0.109,0.209,0
0.605,-0.12,-0.144,0.111,0.218,0
0.607,-0.126,-0.15,0.114,0.227,0
0.609,-0.129,-0.153,0.119,0.233,0
0.611,-0.135,-0.155,0.126,0.241,0
0.613,-0.137,-0.16,0.132,0.248,0
0.615,-0.142,-0.161,0.139,0.256,0
0.617,-0.15,-0.166,0.147,0.267,0
0.619,-0.158,-0.172,0.157,0.282,0
0.621,-0.166,-0.178,0.165,0.293,0
0.623,-0.175,-0.183,0.173,0.307,0
0.625,-0.183,-0.187,0.183,0.319,0
0.627,-0.194,-0.191,0.192,0.334,0
0.629,-0.202,-0.194,0.2,0.344,0
0.631,-0.207,-0.198,0.208,0.354,0
0.633,-0.213,-0.198,0.216,0.362,0
0.635,-0.214,-0.199,0.221,0.366,0
0.637,-0.215,-0.202,0.228,0.372,0
0.639,-0.216,-0.205,0.235,0.379,0
0.641,-0.211,-0.206,0.239,0.38,0
0.643,-0.21,-0.212,0.245,0.386,0
0.645,-0.207,-0.216,0.248,0.389,0
0.647,-0.204,-0.221,0.253,0.393,0
0.649,-0.2,-0.221,0.256,0.393,0
0.651,-0.197,-0.219,0.256,0.39,0
0.653,-0.194,-0.216,0.257,0.388,0
0.655,-0.192,-0.21,0.26,0.385,0
0.657,-0.188,-0.206,0.262,0.383,0
0.659,-0.187,-0.202,0.262,0.38,0
0.661,-0.189,-0.202,0.262,0.381,0
0.663,-0.19,-0.201,0.261,0.38,0
0.665,-0.192,-0.202,0.26,0.381,0
0.667,-0.193,-0.203,0.262,0.384,0
0.669,-0.195,-0.203,0.261,0.384,0
0.671,-0.199,-0.201,0.26,0.384,0
0.673,-0.201,-0.2,0.26,0.384,0
0.675,-0.204,-0.194,0.258,0.382,0
0.677,-0.205,-0.183,0.261,0.379,0
0.679,-0.205,-0.17,0.262,0.373,0
0.681,-0.204,-0.152,0.264,0.366,0
0.683,-0.205,-0.132,0.267,0.362,0
0.685,-0.202,-0.115,0.271,0.357,0
0.687,-0.198,-0.0935,0.274,0.351,0
0.689,-0.192,-0.0796,0.279,0.348,0
0.691,-0.186,-0.069,0.285,0.347,0
0.693,-0.176,-0.0605,0.295,0.349,0
0.695,-0.167,-0.053,0.304,0.351,0
0.697,-0.156,-0.0477,0.312,0.352,0
0.699,-0.144,-0.0413,0.32,0.354,0
0.701,-0.132,-0.0391,0.329,0.356,0
0.703,-0.117,-0.036,0.337,0.359,0
0.705,-0.102,-0.0349,0.346,0.362,0
0.707,-0.0847,-0.0306,0.353,0.365,0
0.709,-0.0676,-0.0285,0.361,0.368,0
0.711,-0.0474,-0.021,0.369,0.373,0
0.713,-0.0293,-0.0221,0.376,0.377,0
0.715,-0.0123,-0.0264,0.383,0.384,0
0.717,0.0101,-0.069,0.38,0.386,0
0.719,0.0293,-0.114,0.375,0.393,0
0.721,0.0495,-0.151,0.373,0.406,0
0.723,0.0687,-0.19,0.373,0.425,0
0.725,0.0858,-0.228,0.375,0.447,0
0.727,0.104,-0.265,0.375,0.47,0
0.729,0.118,-0.3,0.379,0.497,0
0.731,0.132,-0.332,0.383,0.524,0
0.733,0.148,-0.365,0.386,0.552,0
0.735,0.158,-0.398,0.389,0.579,0
0.737,0.171,-0.429,0.393,0.606,0
0.739,0.182,-0.463,0.397,0.637,0
0.741,0.19,-0.494,0.4,0.664,0
0.743,0.198,-0.523,0.401,0.688,0
0.745,0.203,-0.551,0.402,0.711,0
0.747,0.205,-0.576,0.401,0.731,0
0.749,0.205,-0.599,0.4,0.749,0
0.751,0.202,-0.618,0.401,0.764,0
0.753,0.195,-0.635,0.399,0.775,0
0.755,0.189,-0.651,0.399,0.786,0
0.757,0.178,-0.666,0.398,0.796,0
0.759,0.167,-0.681,0.397,0.805,0
0.761,0.153,-0.694,0.396,0.814,0
0.763,0.138,-0.707,0.395,0.822,0
0.765,0.122,-0.718,0.391,0.826,0
0.767,0.105,-0.727,0.386,0.83,0
0.769,0.0868,-0.733,0.383,0.831,0
0.771,0.0666,-0.735,0.379,0.829,0
0.773,0.0453,-0.738,0.375,0.829,0
0.775,0.025,-0.735,0.368,0.822,0
0.777,0.00586,-0.73,0.364,0.815,0
0.779,-0.0154,-0.723,0.356,0.806,0
0.781,-0.0346,-0.71,0.35,0.793,0
0.783,-0.057,-0.695,0.344,0.778,0
0.785,-0.0751,-0.677,0.337,0.76,0
0.787,-0.0943,-0.656,0.33,0.74,0
0.789,-0.11,-0.634,0.324,0.72,0
0.791,-0.126,-0.611,0.319,0.701,0
0.793,-0.142,-0.588,0.311,0.68,0
0.795,-0.154,-0.567,0.305,0.662,0
0.797,-0.166,-0.55,0.299,0.647,0
0.799,-0.176,-0.528,0.291,0.629,0
0.801,-0.184,-0.509,0.286,0.612,0
0.803,-0.189,-0.489,0.279,0.594,0
0.805,-0.193,-0.47,0.27,0.575,0
0.807,-0.195,-0.448,0.262,0.555,0
0.809,-0.198,-0.426,0.251,0.532,0
0.811,-0.197,-0.405,0.24,0.51,0
0.813,-0.194,-0.383,0.231,0.488,0
0.815,-0.191,-0.366,0.219,0.468,0
0.817,-0.188,-0.352,0.205,0.449,0
0.819,-0.184,-0.343,0.192,0.434,0
0.821,-0.176,-0.336,0.182,0.421,0
0.823,-0.172,-0.334,0.167,0.411,0
0.825,-0.169,-0.335,0.153,0.405,0
0.827,-0.16,-0.337,0.14,0.399,0
0.829,-0.155,-0.345,0.128,0.399,0
0.831,-0.152,-0.357,0.115,0.404,0
0.833,-0.149,-0.367,0.0987,0.408,0
0.835,-0.146,-0.382,0.0838,0.418,0
0.837,-0.148,-0.396,0.0699,0.428,0
0.839,-0.149,-0.41,0.055,0.439,0
0.841,-0.153,-0.422,0.0411,0.45,0
0.843,-0.156,-0.432,0.0284,0.461,0
0.845,-0.162,-0.445,0.0156,0.474,0
0.847,-0.17,-0.456,0.0028,0.486,0
0.849,-0.179,-0.47,-0.00679,0.503,0
0.851,-0.185,-0.485,-0.0196,0.519,0
0.853,-0.194,-0.497,-0.0281,0.535,0
0.855,-0.205,-0.514,-0.0366,0.555,0
0.857,-0.214,-0.535,-0.0441,0.577,0
0.859,-0.223,-0.555,-0.0526,0.6,0
0.861,-0.234,-0.574,-0.0601,0.623,0
0.863,-0.242,-0.592,-0.0664,0.643,0
0.865,-0.253,-0.609,-0.0728,0.664,0
0.867,-0.26,-0.625,-0.0782,0.682,0
0.869,-0.269,-0.639,-0.0814,0.698,0
0.871,-0.279,-0.653,-0.0877,0.715,0
0.873,-0.288,-0.666,-0.0909,0.731,0
0.875,-0.3,-0.673,-0.0941,0.743,0
0.877,-0.322,-0.672,-0.0995,0.752,0
0.879,-0.348,-0.667,-0.106,0.759,0
0.881,-0.377,-0.668,-0.109,0.774,0
0.883,-0.404,-0.672,-0.113,0.792,0
0.885,-0.423,-0.679,-0.109,0.808,0
0.887,-0.439,-0.687,-0.106,0.822,0
0.889,-0.458,-0.683,-0.104,0.828,0
0.891,-0.478,-0.679,-0.101,0.837,0
0.893,-0.498,-0.674,-0.102,0.844,0
0.895,-0.517,-0.673,-0.103,0.855,0
0.897,-0.529,-0.681,-0.0995,0.868,0
0.899,-0.533,-0.694,-0.0963,0.881,0
0.901,-0.528,-0.71,-0.092,0.89,0
0.903,-0.518,-0.73,-0.0846,0.899,0
0.905,-0.502,-0.748,-0.0792,0.904,0
0.907,-0.486,-0.76,-0.075,0.906,0
0.909,-0.463,-0.775,-0.0696,0.906,0
0.911,-0.444,-0.783,-0.0728,0.903,0
0.913,-0.482,-0.744,-0.108,0.893,0
0.915,-0.565,-0.711,-0.152,0.921,0
0.917,-0.565,-0.731,-0.177,0.941,0
0.919,-0.581,-0.742,-0.208,0.965,0
0.921,-0.593,-0.77,-0.233,0.999,0
0.923,-0.593,-0.808,-0.252,1.03,0
0.925,-0.609,-0.842,-0.278,1.08,0
0.927,-0.626,-0.885,-0.301,1.12,0
0.929,-0.64,-0.94,-0.324,1.18,0
0.931,-0.665,-0.976,-0.352,1.23,0
0.933,-0.699,-0.977,-0.389,1.26,0
0.935,-0.728,-1.01,-0.42,1.31,0
0.937,-0.753,-1.06,-0.447,1.37,0
0.939,-0.77,-1.12,-0.466,1.44,0
0.941,-0.779,-1.19,-0.481,1.5,0
0.943,-0.781,-1.27,-0.488,1.57,0
0.945,-0.779,-1.35,-0.495,1.63,0
0.947,-0.769,-1.42,-0.498,1.69,0
0.949,-0.757,-1.5,-0.502,1.75,0
0.951,-0.743,-1.57,-0.504,1.81,0
0.953,-0.728,-1.63,-0.504,1.85,0
0.955,-0.709,-1.68,-0.503,1.89,0
0.957,-0.694,-1.73,-0.501,1.93,0
0.959,-0.68,-1.77,-0.495,1.96,0
0.961,-0.66,-1.82,-0.488,1.99,0
0.963,-0.644,-1.85,-0.479,2.02,0
0.965,-0.631,-1.87,-0.47,2.03,0
0.967,-0.618,-1.9,-0.461,2.05,0
0.969,-0.607,-1.92,-0.449,2.06,0
0.971,-0.593,-1.93,-0.434,2.07,0
0.973,-0.581,-1.94,-0.422,2.07,0
0.975,-0.574,-1.93,-0.413,2.06,0
0.977,-0.569,-1.93,-0.401,2.05,0
0.979,-0.558,-1.92,-0.388,2.04,0
0.981,-0.546,-1.91,-0.374,2.02,0
0.984,-0.532,-1.9,-0.358,2.0,0
0.986,-0.516,-1.88,-0.339,1.98,0
0.988,-0.498,-1.86,-0.323,1.95,0
0.99,-0.482,-1.83,-0.306,1.92,0
0.992,-0.463,-1.8,-0.288,1.88,0
0.994,-0.444,-1.76,-0.269,1.84,0
0.996,-0.422,-1.73,-0.252,1.8,0
0.998,-0.401,-1.69,-0.233,1.75,0
1.0,-0.38,-1.65,-0.218,1.7,0
1.0,-0.357,-1.6,-0.2,1.65,0
1.0,-0.338,-1.55,-0.186,1.6,0
1.01,-0.321,-1.51,-0.172,1.55,0
1.01,-0.301,-1.46,-0.161,1.5,0
1.01,-0.285,-1.41,-0.15,1.45,0
1.01,-0.27,-1.36,-0.141,1.39,0
1.01,-0.253,-1.3,-0.132,1.33,0
1.02,-0.24,-1.25,-0.126,1.28,0
1.02,-0.226,-1.19,-0.122,1.22,0
1.02,-0.214,-1.13,-0.115,1.16,0
1.02,-0.203,-1.07,-0.111,1.1,0
1.02,-0.187,-1.02,-0.105,1.04,0
1.03,-0.177,-0.961,-0.102,0.982,0
1.03,-0.166,-0.905,-0.0995,0.926,0
1.03,-0.158,-0.854,-0.0963,0.874,0
1.03,-0.146,-0.802,-0.0952,0.821,0
1.03,-0.136,-0.748,-0.0941,0.766,0
1.04,-0.127,-0.693,-0.0931,0.711,0
1.04,-0.118,-0.643,-0.092,0.66,0
1.04,-0.11,-0.589,-0.0888,0.606,0
1.04,-0.101,-0.54,-0.0877,0.556,0
1.04,-0.0953,-0.489,-0.0846,0.505,0
1.05,-0.0889,-0.44,-0.0835,0.456,0
1.05,-0.0815,-0.395,-0.0835,0.412,0
1.05,-0.0762,-0.348,-0.0803,0.365,0
1.05,-0.0698,-0.309,-0.0814,0.327,0
1.05,-0.0666,-0.272,-0.0792,0.291,0
1.06,-0.0613,-0.24,-0.0803,0.261,0
1.06,-0.0581,-0.211,-0.0803,0.233,0
1.06,-0.0549,-0.184,-0.0814,0.209,0
1.06,-0.0527,-0.164,-0.0835,0.191,0
1.06,-0.0517,-0.149,-0.0846,0.179,0
1.07,-0.0517,-0.136,-0.0877,0.17,0
1.07,-0.0517,-0.129,-0.0888,0.165,0
1.07,-0.0506,-0.126,-0.0888,0.163,0
1.07,-0.0506,-0.124,-0.0899,0.162,0
1.07,-0.0538,-0.129,-0.092,0.167,0
1.08,-0.0559,-0.137,-0.092,0.174,0
1.08,-0.0613,-0.146,-0.092,0.183,0
1.08,-0.0655,-0.158,-0.092,0.195,0
1.08,-0.0708,-0.167,-0.0909,0.203,0
1.08,-0.0783,-0.184,-0.0888,0.219,0
1.09,-0.0868,-0.199,-0.0856,0.233,0
1.09,-0.0975,-0.217,-0.0824,0.252,0
1.09,-0.108,-0.237,-0.0792,0.273,0
1.09,-0.12,-0.258,-0.076,0.294,0
1.09,-0.133,-0.283,-0.0739,0.321,0
1.1,-0.148,-0.314,-0.0707,0.354,0
1.1,-0.165,-0.347,-0.0707,0.391,0
1.1,-0.183,-0.38,-0.0686,0.427,0
1.1,-0.203,-0.414,-0.0707,0.467,0
1.1,-0.225,-0.448,-0.0728,0.507,0
1.11,-0.249,-0.485,-0.076,0.55,0
1.11,-0.271,-0.518,-0.0771,0.589,0
1.11,-0.296,-0.553,-0.0803,0.632,0
1.11,-0.317,-0.585,-0.0824,0.67,0
1.11,-0.342,-0.619,-0.0856,0.712,0
1.12,-0.366,-0.654,-0.0888,0.755,0
1.12,-0.388,-0.687,-0.0899,0.794,0
1.12,-0.411,-0.717,-0.0909,0.831,0
1.12,-0.432,-0.75,-0.0931,0.87,0
1.12,-0.452,-0.779,-0.092,0.905,0
1.13,-0.475,-0.805,-0.0909,0.939,0
1.13,-0.496,-0.833,-0.0899,0.973,0
1.13,-0.517,-0.858,-0.0867,1.01,0
1.13,-0.54,-0.883,-0.0835,1.04,0
1.13,-0.56,-0.909,-0.0792,1.07,0
1.14,-0.58,-0.929,-0.0739,1.1,0
1.14,-0.6,-0.947,-0.0686,1.12,0
1.14,-0.618,-0.96,-0.0643,1.14,0
1.14,-0.635,-0.967,-0.0558,1.16,0
1.14,-0.649,-0.968,-0.0473,1.17,0
1.15,-0.664,-0.964,-0.0377,1.17,0
1.15,-0.675,-0.964,-0.0302,1.18,0
